Executable                            Bundle                                                            Version    Path
------------------------------------  ----------------------------------------------------------------  ---------  -------------------------------------------
MailSupport                           com.apple.MailSupport                                             11.0       .../PrivateFrameworks/MailSupport.framework
NaturalLanguage                       com.apple.NaturalLanguage                                         1.0        ...ary/Frameworks/NaturalLanguage.framework
MediaRemote                           com.apple.MediaRemote                                             1.0        .../PrivateFrameworks/MediaRemote.framework
CameraKit                             com.apple.CameraKit                                               1.0        ...ry/PrivateFrameworks/CameraKit.framework
EmailFoundation                       com.apple.EmailFoundation                                         11.0       ...vateFrameworks/EmailFoundation.framework
ConfigurationEngineModel              com.apple.ConfigurationEngineModel                                1.0        ...works/ConfigurationEngineModel.framework
AVFAudio                              com.apple.audio.AVFAudio                                          1.0        ....framework/Frameworks/AVFAudio.framework
CoreMaterial                          com.apple.CoreMaterial                                            1.0        ...PrivateFrameworks/CoreMaterial.framework
ClassKit                              com.apple.ClassKit                                                1.2        ...em/Library/Frameworks/ClassKit.framework
AuthenticationServices                com.apple.AuthenticationServices                                  12.0       ...meworks/AuthenticationServices.framework
MessageSupport                        com.apple.MessageSupport                                          1.0        ...ivateFrameworks/MessageSupport.framework
Montreal                              com.apple.Montreal                                                1.0        ...ary/PrivateFrameworks/Montreal.framework
Heimdal                               com.apple.Heimdal                                                 4.0        ...rary/PrivateFrameworks/Heimdal.framework
InternationalTextSearch               com.apple.InternationalTextSearch                                 1.0        ...eworks/InternationalTextSearch.framework
DocumentManager                       com.apple.DocumentManager                                         1.0        ...vateFrameworks/DocumentManager.framework
TextRecognition                       com.apple.TextRecognition                                         1.0        ...vateFrameworks/TextRecognition.framework
InternationalSupport                  com.apple.InternationalSupport                                    1.0        ...rameworks/InternationalSupport.framework
MobileSpotlightIndex                  com.apple.mobilespotlight.index                                   10.7.0     ...rameworks/MobileSpotlightIndex.framework
CloudKit                              com.apple.cloudkit.CloudKit                                       836        ...em/Library/Frameworks/CloudKit.framework
IconServices                          com.apple.IconServices                                            434        ...PrivateFrameworks/IconServices.framework
IMDPersistence                        com.apple.IMDPersistence                                          10.0       ...ivateFrameworks/IMDPersistence.framework
CalendarFoundation                    com.apple.CalendarFoundation                                      8.0        ...eFrameworks/CalendarFoundation.framework
UserNotifications                     com.apple.UserNotifications                                       1.0        ...y/Frameworks/UserNotifications.framework
CoreHandwriting                       com.apple.CoreHandwriting                                         161        ...vateFrameworks/CoreHandwriting.framework
Notes                                 com.apple.Notes                                                   2.7        ...ibrary/PrivateFrameworks/Notes.framework
PrototypeTools                        com.apple.PrototypeTools                                          1.0        ...ivateFrameworks/PrototypeTools.framework
Quagga                                com.apple.Quagga                                                  1.0        ...brary/PrivateFrameworks/Quagga.framework
RKValueTransformers                   org.cocoapods.RKValueTransformers                                 22.06.01   ...Frameworks/RKValueTransformers.framework
MPSCore                               com.apple.MetalPerformanceShaders.MPSCore                         1.0        ...s.framework/Frameworks/MPSCore.framework
WebKit                                com.apple.WebKit                                                  8608       ...stem/Library/Frameworks/WebKit.framework
StorageSettings                       com.apple.StorageSettingsFramework                                1.0        ...vateFrameworks/StorageSettings.framework
DuetActivityScheduler                 com.apple.DuetActivityScheduler                                   1.0        ...ameworks/DuetActivityScheduler.framework
AccountsDaemon                        com.apple.accounts.AccountsDaemon                                 113        ...ivateFrameworks/AccountsDaemon.framework
CaptiveNetwork                        com.apple.CaptiveNetworkSupport                                   13.0       ...ivateFrameworks/CaptiveNetwork.framework
QuickLookSupport                      com.apple.quicklook.QuickLookSupport                              1.0        ...ateFrameworks/QuickLookSupport.framework
MobileAsset                           com.apple.MobileAssets                                            1.0        .../PrivateFrameworks/MobileAsset.framework
StreamingZip                          com.apple.StreamingZip                                            1.0        ...PrivateFrameworks/StreamingZip.framework
EmojiKit                              com.apple.EmojiKit                                                1.0        ...ary/PrivateFrameworks/EmojiKit.framework
Symbolication                         com.apple.Symbolication                                           11.0       ...rivateFrameworks/Symbolication.framework
CertInfo                              com.apple.CertInfo                                                1.0        ...ary/PrivateFrameworks/CertInfo.framework
MediaPlayer                           com.apple.MediaPlayer                                             1.0        ...Library/Frameworks/MediaPlayer.framework
